Ticker, Routing, Documentation, Label,Smallest unit Decimal (number)
VANA_ETH,VANA.ETH,Nirvana,Nirvana,18
NOTART_ETH,NOTART.ETH,Its Not Art,Its Not Art,9
INCX_ETH,INCX.ETH,International Crypt,International Crypt,18
VEST_ETH,VEST.ETH,DAO Invest,DAO Invest,18
R3FI_ETH,R3FI.ETH,Recharge Finance,Recharge Finance,9
ALTHALF_ETH,ALTHALF.ETH,0 5X Long Altcoin I,0 5X Long Altcoin I,0
UNCX_ETH,UNCX.ETH,UniCrypt,UniCrypt,18
EFI_ETH,EFI.ETH,Efinity Token,Efinity Token,18
NBAI_ETH,NBAI.ETH,Nebula AI,Nebula AI,18
XBP_ETH,XBP.ETH,BlitzPick,BlitzPick,18
PUFA_ETH,PUFA.ETH,Platform for Underp,Platform for Underp,9
VINCI_ETH,VINCI.ETH,Vinci,Vinci,18
MSP_ETH,MSP.ETH,Mothership,Mothership,18
WEBN_ETH,WEBN.ETH,WEBN token,WEBN token,8
URUS_ETH,URUS.ETH,Aurox Token,Aurox Token,18
MKRBULL_ETH,MKRBULL.ETH,3X Long Maker Token,3X Long Maker Token,0
CBIX7_ETH,CBIX7.ETH,CBI Index 7,CBI Index 7,18
GPO_ETH,GPO.ETH,GoldPesa Option,GoldPesa Option,18
QRX_ETH,QRX.ETH,QuiverX,QuiverX,18
ABX_ETH,ABX.ETH,Arbidex,Arbidex,18
DAKE_ETH,DAKE.ETH,DogKage,DogKage,9
CMS_ETH,CMS.ETH,CryptoMoonShots,CryptoMoonShots,18
FBX_ETH,FBX.ETH,Finance Blocks,Finance Blocks,18
AUSDT_ETH,AUSDT.ETH,Aave USDT v1,Aave USDT v1,6
SHIBMERICAN_ETH,SHIBMERICAN.ETH,Shibmerican,Shibmerican,9
BULLSHIT_ETH,BULLSHIT.ETH,3X Long Shitcoin In,3X Long Shitcoin In,18
SUPER_ETH,SUPER.ETH,SuperFarm,SuperFarm,18
AAMMUNIRENWETH_ETH,AAMMUNIRENWETH.ETH,Aave AMM UniRENWETH,Aave AMM UniRENWETH,18
NOA_ETH,NOA.ETH,NOA PLAY,NOA PLAY,9
PIN_ETH,PIN.ETH,Public Index Networ,Public Index Networ,18
SINU_ETH,SINU.ETH,Strong Inu,Strong Inu,18
SPACE_ETH,SPACE.ETH,Space,Space,18
BT_ETH,BT.ETH,BitHash Token,BitHash Token,18
SAT_ETH,SAT.ETH,SmartX,SmartX,4
CMIT_ETH,CMIT.ETH,CMITCOIN,CMITCOIN,8
STA_ETH,STA.ETH,Defi STOA,Defi STOA,18
RESTAURANTS_ETH,RESTAURANTS.ETH,Devour,Devour,18
MEL_ETH,MEL.ETH,MELX,MELX,18
GY_ETH,GY.ETH,Gamers Yield,Gamers Yield,6
HCUT_ETH,HCUT.ETH,HealthChainUS,HealthChainUS,18
MBT_ETH,MBT.ETH,MysticBets,MysticBets,18
MVL_ETH,MVL.ETH,MVL,MVL,18
KRAUSE_ETH,KRAUSE.ETH,KRAUSE,KRAUSE,18
STKATOM_ETH,STKATOM.ETH,pSTAKE Staked ATOM,pSTAKE Staked ATOM,6
BTB_ETH,BTB.ETH,Bitball,Bitball,18
PXG_ETH,PXG.ETH,PlayGame,PlayGame,18
BCASH_ETH,BCASH.ETH,BankCoin BCash,BankCoin BCash,18
D11_ETH,D11.ETH,DeFi11,DeFi11,18
SFCP_ETH,SFCP.ETH,SF Capital,SF Capital,18
SBECOM_ETH,SBECOM.ETH,SheBollETH Commerce,SheBollETH Commerce,18
WACO_ETH,WACO.ETH,Waste Digital Coin,Waste Digital Coin,18
ATUSD_ETH,ATUSD.ETH,Aave TUSD,Aave TUSD,18
HTBULL_ETH,HTBULL.ETH,3X Long Huobi Token,3X Long Huobi Token,18
